act_name,section_number,section_title,content,doc_types
"Cantonments (Extension of Rent Control Laws) Act, 1957",1,Short  title:-,"This Act may be called the Cantonments (Extension of Rent Control Laws) Act, 1957.",rent_agreement
"Cantonments (Extension of Rent Control Laws) Act, 1957",2,Definitions:-,"In this Act, ""cantonment"" means any place declared to be a cantonment under section 3 of the Cantonments Act, 1924(2 of 1924).",rent_agreement
"Cantonments (Extension of Rent Control Laws) Act, 1957",3,Power to extend to cantonments laws,"relating to control of rents and regulation of house accommodation:- The Central Government may, by notification in the Official Gazette, extend to any cantonment with such restrictions and modifications as it thinks fit, any enactment relating to the control of rent and regulation of house accommodation which is in force on the date of the notification in the State in which the cantonment is situated: Provided that nothing contained in any enactment so extended shall apply to- (a) any premises within the cantonment belonging to the Government; (b) any tenancy or other like relationship created by a grant from the Government in respect of premises within the cantonment taken on lease or requisitioned by the Government; or (c) any house within the cantonment which is, or may be, appropriated by the Central Government on lease under the Cantonments (House Accommodation) Act, 1923(6 of 1923). Comment: We, therefore, hold that the decree obtained by the respondents is saved by the provisions of Section 3, sub-section (4) of the Cantonment (Extension of Rent Control Laws) Act of 1957, as amended by Act 22 of 1972. Jai Singh Jairam Tyagi v. Maman Chand Ratilal Agarwal , AIR 1980 SUPREME COURT 1201",rent_agreement
"Cantonments (Extension of Rent Control Laws) Act, 1957",4,Extension of the Madhya Bharat,"Accommodation Control Act, 1955 to the cantonment of Mhow :- (1) The Madhya Bharat Accommodation Control Act, 1955( M.B.Act 23 of 1955), as in force in that part of the State of Madhya Pradesh which immediately before the 1st day of November, 1956, formed the State of Madhya Bharat is hereby extended to, and brought into force in, the cantonment of Mhow with the following modifications, namely:- In the said Act,- (a) for the words ""commencement of this Act"" wherever they occur, the words ""extension of this Act to the cantonment"" shall be substituted; (b) in section 1, for sub-sections (2) , (3) and (4), the following sub-sections shall be substituted, namely:- (2) It extends to the Cantonment of Mhow . (3) It shall remain in force upto the 31st day of December, 1957; but the Central Government may, by notification in the Official Gazette, direct from time to time that it shall remain in force for such further period as may be specified in the notification so, however, that the total period for which it may remain in force shall not exceed two years from the 31st day of December, 1957.""; (c) in section2, in the clause (b) of sub-section (1), for the words ""a Municipality"", the words ""the Cantonment Board"" shall be substituted; (d) in section 3, in clause (e), for the word ""Municipal"", the words ""Cantonment Board"" shall be substituted; (e) in section 4,- ( i ) in clause (g), for the words ""city or town concerned"", the word ""cantonment"" shall be substituted; (ii) in clause (h), for the words ""city or town for that purpose and if he was in occupation, has for sufficient reasons vacated it after the Act has been extended to that city or town"", the words ""cantonment for that purpose or if he was in occupation, has for sufficient reasons vacated it after the extension of this Act thereto"" shall be substituted; (f) in section 6,- ( i ) in sub-section (1), the words and brackets ""situated in the city of Lashkar (including Gwalior and Morar ), Indore , Ujjain or Ratlam "" shall be omitted; (ii) sub -section (2) shall be omitted; (g) in section 14, the words ""the provisions of this Act cease to be applicable to any town, or"" shall be omitted; (h) in section 15, after the word ""instituted"", the words ""or if instituted, continued"", shall be inserted; ( i ) in section 18, sub-section (4) shall be omitted; (j) in section 21, the words ""or deemed to have been passed"" shall be omitted; (k) in section 22, the words ""or deemed to have been made"" shall be omitted; (l) section 23, section 27 and the Schedule shall be omitted; (m) in sections 24 and 25, the words ""or deemed to have been made"" shall be omitted.",rent_agreement
"Code on Wages, 2019",1,Chapter I,"Preliminary 1. Short title, extent and commencement.- (1) This Act may be called the Code on Wages, 2019. (2) It extends to the whole of India. (3) It shall come into force on such date1 as the Central Government may, by notification in the Official Gazette appoint; and different dates may be appointed for different provisions of this Code and any reference in any such provision to the commencement of this Code shall be construed as a reference to the coming into force of that provision.",offer_letter
"Code on Wages, 2019",10,Wages of employee who works for less than normal working day.-,"If an employee whose minimum rate of wages has been fixed under this Code by the day works on any day on which he was employed for a period of less than the requisite number of hours constituting a normal working day, he shall, save as otherwise hereinafter provided, be entitled to receive wages in respect of work done on that day, as if he had worked for a full normal working day: Provided that he shall not be entitled to receive wages for a full normal working day, - (i) in any case where his failure to work is caused by his unwillingness to work and not by the omission of the employer to provide him with work; and (ii) in such other cases and circumstances, as may be prescribed.",offer_letter
"Code on Wages, 2019",11,Wages for two or more classes of work.-,"Where an employee does two or more classes of work to each of which a different minimum rate of wages is applicable, the employer shall pay to such employee in respect of the time respectively occupied in each such class of work, wages at not less than the minimum rate in force in respect of each such class.",offer_letter
"Code on Wages, 2019",12,Minimum time rate wages for piece work.-,"Where a person is employed on piece work for which minimum time rate and not a minimum piece rate has been fixed under this Code, the employer shall pay to such person wages at not less than the minimum time rate.",offer_letter
"Code on Wages, 2019",13,Fixing hours of work for normal working day.-,"(1) Where the minimum rates of wages have been fixed under this Code, the appropriate Government may- (a) fix the number of hours of work which shall constitute a normal working day inclusive of one or more specified intervals; (b) provide for a day of rest in every period of seven days which shall be allowed to all employees or to any specified class of employees and for the payment of remuneration in respect of such days of rest; (c) provide for payment for work on a day of rest at a rate not less than the overtime rate. (2) The provisions of sub-section (1) shall, in relation to the following classes of employees apply, only to such extent and subject to such conditions as may be prescribed, namely:- (a) employees engaged in any emergency which could not have been foreseen or prevented; (b) employees engaged in work of the nature of preparatory or complementary work which must necessarily be carried on outside the limits laid down for the general working in the employment concerned; (c) employees whose employment is essentially intermittent; (d) employees engaged in any work which for technical reasons has to be completed before the duty is over; and (e) employees engaged in a work which could not be carried on except at times dependent on the irregular action of natural forces. (3) For the purposes of clause (c) of sub-section (2), employment of an employee is essentially intermittent when it is declared to be so by the appropriate Government on the ground that the daily hours of duty of the employee, or if there be no daily hours of duty as such for the employee, the hours of duty normally include periods of inaction during which the employee may be on duty but is not called upon to display either physical activity or sustained attention.",offer_letter
"Code on Wages, 2019",14,Wages for overtime work.-,"Where an employee whose minimum rate of wages has been fixed under this Code by the hour, by the day or by such a longer wage-period as may be prescribed, works on any day in excess of the number of hours constituting a normal working day, the employer shall pay him for every hour or for part of an hour so worked in excess, at the overtime rate which shall not be less than twice the normal rate of wages.",offer_letter
